submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
2020-01-01,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-02,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-03,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-04,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-05,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-06,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-07,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-08,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-09,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-10,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-11,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-12,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-13,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-14,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-15,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-16,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-17,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-18,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-19,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-20,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-21,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-22,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-23,1,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
2020-01-24,2,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
2020-01-25,2,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-26,3,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
2020-01-27,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-28,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-29,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-30,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-01-31,4,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
2020-02-01,5,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
2020-02-02,8,3.0,0.0,3,0.0,0,0.0,0.0,0,0.0
2020-02-03,11,6.0,0.0,3,0.0,0,0.0,0.0,0,0.0
2020-02-04,11,6.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-02-05,11,6.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-02-06,11,6.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-02-07,12,6.0,0.0,1,0.0,0,0.0,0.0,0,0.0
2020-02-08,12,6.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-02-09,12,6.0,0.0,0,0.0,0,0.0,0.0,0,0.0
2020-02-10,12,6.0,0.0,0,0.0,0,0.0,0.0,0,0.0
